id,stationName,latitude,longitude,neighbourhood,availableDocks,totalDocks,city,color,borough
3511,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,Harlem,22,22,NYC,#A477C4,Manhattan
3512,27 Ave & 4 St,40.7747175,-73.93378940000001,Astoria,11,19,NYC,#448D7A,Queens
3513,21 St & Hoyt Ave S,40.774645,-73.92370600000001,Astoria,13,21,NYC,#448D7A,Queens
3514,Astoria Park S & Shore Blvd,40.7767,-73.927631,Astoria,11,23,NYC,#448D7A,Queens
3515,24 Ave & 26 St,40.774591,-73.918544,Astoria,15,19,NYC,#448D7A,Queens
3516,31 St & Astoria Blvd,40.76991760000001,-73.91840570000001,Astoria,30,31,NYC,#448D7A,Queens
3517,31 St & Hoyt Ave N,40.771152799999996,-73.9170074,Astoria,25,35,NYC,#448D7A,Queens
3518,Lenox Ave & W 126 St,40.808442,-73.94520870000001,Harlem,23,34,NYC,#A477C4,Manhattan
3519,28 Ave & 43 St,40.764258,-73.911239,Astoria,0,0,NYC,#448D7A,Queens
3520,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,Harlem,23,27,NYC,#A477C4,Manhattan
3521,Lenox Ave & W 111 St,40.7987859,-73.9523,East Harlem,31,36,NYC,#D05E56,Manhattan
3522,37 St & 24 Ave,40.7701477,-73.9120938,Steinway,17,19,NYC,#FDCA48,Queens
3523,24 Ave & 29 St,40.7729,-73.91614200000001,Steinway,19,25,NYC,#FDCA48,Queens
3524,19 St & 24 Ave,40.777455200000006,-73.9225403,Astoria,16,23,NYC,#448D7A,Queens
3525,23 Ave & 27 St,40.776165,-73.9153175,Steinway,9,21,NYC,#FDCA48,Queens
